id,size,xpos,ypos,zpos,xsize,ysize,zsize,weightedx,weightedy,weightedz,minaxis,medaxis,majaxis,eccentricity,elongation,orientation,integratedintensty,sigma,seedIntensity,seedScale,minIntensityForeground,maxIntensityForeground,minIntensityBackground,maxIntensityBackground,volumeForeground,volumeBackground,foregroundIntensity,backgroundIntensity,fg/bg ratio,integratedGradientMag
3841,18331,1122,817,346,34,35,34,0,0,0,25.6192,31.5331,31.9791,0.583027,1.23084,-1.71568,2093.62,0,0.197361,9,0.0629324,0.24602,0,0.366124,18331,420645,0.114212,0.0540778,2.112,172.784
3905,15451,699,823,348,33,29,34,0,0,0,23.8772,29.4736,30.5638,0.586264,1.23438,-2.83081,2031.85,0,0.224263,9,0.0939485,0.260268,0.0562199,0.351413,15451,423525,0.131503,0.0907726,1.44871,146.374
3969,9938,961,52,355,26,27,30,0,0,0,20.1873,24.8575,27.9995,0.58349,1.23134,-2.15773,1526.47,0,0.264177,9,0.102384,0.454646,0.0496104,0.527711,9938,429038,0.153599,0.0779639,1.97013,169.555
4033,11339,547,409,358,34,22,33,0,0,0,18.3504,28.4764,30.7287,0.764682,1.55181,0.110935,2185.6,0,0.256822,9,0.124013,0.461153,0.0544968,0.595607,11339,427637,0.192751,0.086514,2.22797,233.509
4097,13067,566,821,363,34,27,31,0,0,0,21.4786,26.8653,32.6692,0.600677,1.2508,-0.246268,2582.41,0,0.360389,9,0.128359,0.371345,0.0579945,0.369879,13067,425909,0.197629,0.106701,1.85217,224.726
4161,9724,981,700,366,31,22,34,0,0,0,18.8919,23.9711,30.9701,0.615531,1.26885,3.05779,1627.93,0,0.328678,9,0.112183,0.339994,0.0558342,0.324692,9724,429252,0.167413,0.0886852,1.88773,156.49
4225,8271,557,364,371,32,23,31,0,0,0,14.9381,26.9867,31.2418,0.832826,1.80657,2.07336,1739.72,0,0.441067,9,0.133657,0.5067,0.0550369,0.492683,8271,430705,0.210339,0.0993841,2.11643,214.672
4289,8374,785,1178,375,35,17,34,0,0,0,17.001,27.596,30.0464,0.787694,1.6232,0.180382,1029.55,0,0.253736,9,0.0882391,0.26122,0.0534167,0.36116,8374,216890,0.122946,0.0868455,1.41568,77.6416
4353,15747,924,219,379,32,33,33,0,0,0,24.0379,28.1984,32.9956,0.522797,1.17308,-1.20473,2589.78,0,0.289021,9,0.108891,0.303012,0.0523365,0.430137,15747,423229,0.164462,0.0953617,1.72461,200.329
4417,11156,985,428,387,31,24,34,0,0,0,20.7292,25.9119,29.4307,0.60002,1.25002,2.97673,1694.25,0,0.258108,9,0.103567,0.339866,0.0540853,0.456806,11156,427820,0.151869,0.094792,1.60213,149.478
4481,21288,1119,357,390,35,34,35,0,0,0,30.391,30.7842,31.1746,0.159312,1.01294,3.08799,2513.07,0,0.30476,9,0.0593833,0.357123,0,0.44153,21288,417688,0.118051,0.0874983,1.34918,217.73
4545,14982,1001,557,394,34,30,33,0,0,0,22.8649,30.179,30.9954,0.652669,1.31988,-1.61155,3477.12,0,0.395854,9,0.145179,0.473909,0.0557313,0.398915,14982,423994,0.232087,0.0976827,2.37593,301.317
4609,14198,608,733,397,33,30,33,0,0,0,23.4137,28.6708,30.185,0.577146,1.22453,-0.719902,2197.96,0,0.289947,9,0.106859,0.295888,0.0577116,0.386544,14198,424778,0.154808,0.111621,1.38691,154.874
4673,17111,606,811,403,34,33,34,0,0,0,25.1018,30.057,32.1512,0.550038,1.1974,-2.20904,3257.33,0,0.272021,9,0.124296,0.344006,0.0577116,0.369879,17111,421865,0.190365,0.109792,1.73387,222.598
4737,9978,873,202,407,32,23,32,0,0,0,19.6069,23.9809,30.6899,0.575776,1.22308,3.10942,1698.67,0,0.311524,9,0.112183,0.348558,0.0524908,0.43528,9978,428998,0.170242,0.0929543,1.83146,167.891
4801,16403,915,818,412,31,34,33,0,0,0,25.9798,29.4901,30.2518,0.473179,1.13512,1.47506,2412.69,0,0.184657,9,0.102461,0.301057,0.0567343,0.391019,16403,422573,0.147088,0.102252,1.43849,149.48
4865,17380,528,567,416,35,33,34,0,0,0,27.6209,28.0446,31.9981,0.173168,1.01534,1.63663,3275.45,0,0.431654,9,0.0952087,0.464059,0,0.519842,17380,421596,0.188461,0.0681639,2.76482,338.31
4929,7341,768,12,422,21,28,31,0,0,0,15.8701,20.5326,33.3238,0.634502,1.29379,-2.35012,1454.41,0,0.3205,9,0.125556,0.394028,0.0511792,0.426382,7341,281459,0.198122,0.0746527,2.65391,151.916
4993,13852,790,1042,426,31,30,32,0,0,0,23.2522,27.3044,30.7175,0.524208,1.17427,2.79325,2241.06,0,0.250624,9,0.109945,0.313016,0.05676,0.365815,13852,425124,0.161785,0.0977423,1.65523,178.131
5057,13476,843,235,429,33,28,32,0,0,0,22.7849,27.9816,30.2587,0.580468,1.22807,3.13836,2233.59,0,0.307769,9,0.110228,0.399198,0.0541625,0.403775,13476,425500,0.165746,0.102794,1.61241,193.577
5121,15500,853,41,434,31,29,34,0,0,0,25.4809,27.0243,31.2472,0.333101,1.06057,0.0256648,1944.82,0,0.199444,9,0.0882134,0.283466,0.0499704,0.643315,15500,423476,0.125472,0.0963239,1.30261,148.44
5185,15961,951,886,438,33,30,34,0,0,0,25.3493,28.6569,31.2531,0.466396,1.13048,-0.69688,2801.85,0,0.284083,9,0.116452,0.330376,0.0569915,0.390994,15961,423015,0.175544,0.109204,1.60749,198.431
5249,20437,1223,646,442,33,35,35,0,0,0,28.9147,31.1119,31.247,0.369125,1.07599,1.21811,5101.46,0,0.407067,9,0.126096,0.457501,0,0.322043,20437,418539,0.249619,0.0757247,3.29641,376.087
5313,15756,952,519,448,34,31,33,0,0,0,26.3693,26.8346,31.1479,0.185414,1.01765,-2.14161,2422.38,0,0.286115,9,0.106396,0.304375,0.0591261,0.427153,15756,423220,0.153743,0.107387,1.43168,160.366
5377,15395,753,883,453,31,32,33,0,0,0,25.8473,28.5137,29.6364,0.422231,1.10316,-2.89191,2140.53,0,0.263997,9,0.0988092,0.268729,0.05694,0.366587,15395,423581,0.13904,0.0993552,1.39943,153.489
5441,13438,867,895,456,32,32,33,0,0,0,24.4155,25.7419,30.6362,0.31686,1.05433,-2.66831,2192.2,0,0.282257,9,0.110511,0.29185,0.0568115,0.399275,13438,425538,0.163134,0.0974074,1.67476,168.556
5505,16422,725,998,461,34,29,34,0,0,0,24.292,30.1906,30.9677,0.593786,1.24282,0.288138,3097.52,0,0.320371,9,0.123627,0.343595,0.0576344,0.374997,16422,422554,0.18862,0.0995125,1.89544,240.04
5569,10818,1028,322,466,26,31,34,0,0,0,21.0778,22.1153,33.1856,0.302695,1.04922,-3.03455,1978.94,0,0.314842,9,0.118535,0.368259,0.0519507,0.421161,10818,428158,0.18293,0.0803595,2.2764,180.855
5633,13814,864,906,471,29,31,34,0,0,0,22.4021,27.1664,32.3188,0.565681,1.21267,-0.710928,2276,0,0.277576,9,0.11082,0.31137,0.0562971,0.399275,13814,425162,0.164761,0.0973308,1.69279,177.032
5697,18202,755,1125,476,32,35,34,0,0,0,27.5047,28.7638,32.0384,0.292625,1.04578,-2.62065,3619.58,0,0.316179,9,0.126636,0.34681,0.0539825,0.330659,18202,420774,0.198856,0.0964338,2.0621,243.21
5761,16498,990,1110,480,31,33,34,0,0,0,25.9975,28.2465,31.2649,0.391027,1.08651,-1.78982,1823.66,0,0.148317,9,0.0819896,0.179384,0.0529023,0.269578,16498,422478,0.110538,0.0780846,1.41562,107.278
5825,17654,1293,1152,486,35,33,34,0,0,0,25.388,30.4481,32.2166,0.552048,1.19931,-1.70183,3624.15,0,0.36957,9,0.103387,0.386313,0,0.335674,17654,386666,0.205288,0.0539104,3.80794,308.089
5889,13619,887,985,490,28,32,33,0,0,0,24.188,27.5375,29.1244,0.477989,1.13848,1.26415,2075.46,0,0.287658,9,0.104364,0.302446,0.0553712,0.334979,13619,425357,0.152394,0.0954466,1.59664,160.357
5953,11636,1004,286,495,32,26,33,0,0,0,21.2268,23.2336,33.418,0.406562,1.09454,-0.404921,2305.9,0,0.307898,9,0.125968,0.382764,0.0519507,0.449297,11636,427340,0.19817,0.0864681,2.29182,228.474
6017,16125,699,807,501,31,32,34,0,0,0,26.1663,28.4591,30.3792,0.393235,1.08762,-1.66613,2436.44,0,0.220893,9,0.105625,0.268138,0.0594347,0.310084,16125,422851,0.151097,0.093562,1.61494,158.957
6081,15361,810,640,506,31,30,34,0,0,0,25.6342,27.7805,30.2385,0.385424,1.08373,2.77522,2071.52,0,0.193246,9,0.0962631,0.221356,0.0566829,0.506622,15361,423615,0.134856,0.0936902,1.43938,136.543
6145,20403,689,183,510,35,33,35,0,0,0,29.4032,30.4919,31.1929,0.264835,1.03703,-2.93397,2450.04,0,0.498727,9,0.0622123,0.539799,0,0.704035,20403,418573,0.120082,0.0848048,1.41598,252.318
6209,21167,705,787,514,35,34,35,0,0,0,30.1317,30.9253,31.1357,0.225083,1.02634,-0.0198676,2604.31,0,0.184374,9,0.0664558,0.222025,0,0.278734,21167,417809,0.123036,0.0891971,1.37938,155.163
6273,16287,648,324,517,34,34,32,0,0,0,23.8631,31.1074,31.4032,0.641504,1.30358,-0.894166,2032.69,0,0.205205,9,0.0641154,0.314328,0,0.643392,16287,422689,0.124805,0.0653091,1.91099,189.651
6337,12584,908,150,524,32,26,31,0,0,0,23.3116,27.4968,28.0606,0.530328,1.17953,-2.35325,3079.5,0,0.40897,9,0.149063,0.565183,0.0513592,0.475915,12584,426392,0.244716,0.0921623,2.65527,325.387
6401,14086,888,409,529,31,28,34,0,0,0,23.9323,26.5643,31.1681,0.433991,1.10998,2.87243,1881.96,0,0.27431,9,0.0947715,0.306381,0.0548312,0.534192,14086,424890,0.133605,0.0955895,1.39769,147.803
6465,11246,1039,673,533,29,28,33,0,0,0,22.2345,24.3555,29.7675,0.408153,1.09539,2.40766,1688.59,0,0.280868,9,0.103207,0.301777,0.0554227,0.372682,11246,427730,0.150149,0.0878069,1.70999,142.764
6529,20433,725,451,537,34,34,35,0,0,0,29.8589,30.3323,30.9516,0.175981,1.01585,-1.88271,3141.24,0,0.404187,9,0.0783633,0.549392,0,0.563974,20433,418543,0.153734,0.107987,1.42363,295.954
6593,16607,869,58,543,34,32,33,0,0,0,25.9838,28.6582,31.5315,0.421815,1.10292,0.400631,2450.4,0,0.23473,9,0.0996837,0.411311,0.0516421,0.508577,16607,422369,0.147553,0.0869984,1.69604,193.49
6657,15001,682,510,545,33,31,33,0,0,0,24.9022,27.787,32.0511,0.44369,1.11585,1.62758,2582.74,0,0.376926,9,0.0875704,0.482087,0,0.622226,15001,423975,0.172171,0.073236,2.35091,286.766
6721,12987,1288,86,553,33,24,33,0,0,0,21.6628,27.0061,31.2614,0.597131,1.24666,-3.10071,1967.48,0,0.396343,9,0.101973,0.478924,0.0515907,0.48826,12987,425989,0.151496,0.0869155,1.74303,188.876
